mvir,rockstarid,rvir
10009000000000,12671675727,438.513
10009000000000,12647289860,438.513
10009000000000,12677818512,438.513
10009000000000,12668870452,438.513
10009000000000,12695378583,438.513
10009000000000,12697733346,438.513
10009000000000,12689420072,438.513
10009000000000,12656663860,438.513
10009000000000,12692270692,438.513
10009000000000,12686996127,438.513
10009000000000,12658761560,438.513
10009000000000,12686223052,438.513
10009000000000,12660466520,438.513
10009000000000,12704970543,438.513
10009000000000,12704655707,438.513
10011000000000,12580923935,438.535
10011000000000,12572406754,438.535
10011000000000,12575968054,438.535
10011000000000,12587438125,438.535
10011000000000,12591290704,438.535
10011000000000,12594148705,438.535
10011000000000,12595183054,438.535
10011000000000,12606917875,438.535
10011000000000,12578689433,438.535
10011000000000,12599932095,438.535
10011000000000,12600772805,438.535
10011000000000,12587109943,438.535
10011000000000,12588964726,438.535
10011000000000,12573363321,438.535
10011000000000,12571644848,438.535
10011000000000,12575415059,438.535
10011000000000,12612282894,438.535
10011000000000,12575559521,438.535
10011000000000,12587613149,438.535
10011000000000,12625164434,438.535
10011000000000,12606290306,438.535
10011000000000,12584431091,438.535
10011000000000,12585227218,438.535
10011000000000,12635159745,438.535
10011000000000,12646271995,438.535
10011000000000,12619612896,438.535
10011000000000,12601837802,438.535
10011000000000,12603519648,438.535
10011000000000,12655297735,438.535
10011000000000,12617919912,438.535
10011000000000,12622155799,438.535
10011000000000,12621909681,438.535
10011000000000,12630362936,438.535
10011000000000,12606362420,438.535
10011000000000,12628879809,438.535
10011000000000,12645330733,438.535
10011000000000,12666715155,438.535
10011000000000,12630002632,438.535
10011000000000,12639113553,438.535
10011000000000,12619462790,438.535
10011000000000,12694059744,438.535
10011000000000,12694643415,438.535
10011000000000,12623136630,438.535
10011000000000,12661718139,438.535
10011000000000,12659253316,438.535
10011000000000,12665224721,438.535
10011000000000,12670485393,438.535
10011000000000,12663575566,438.535
10011000000000,12659970457,438.535
10011000000000,12670271527,438.535
10011000000000,12660678852,438.535
10011000000000,12680782896,438.535
10011000000000,12665118162,438.535
10011000000000,12639828260,438.535
10011000000000,12677174969,438.535
10011000000000,12677782332,438.535
10011000000000,12695378553,438.535
10011000000000,12682758259,438.535
10011000000000,12692310477,438.535
10011000000000,12685194651,438.535
10011000000000,12693067333,438.535
10011000000000,12696108553,438.535
10011000000000,12691102991,438.535
10011000000000,12690706642,438.535
10011000000000,12704229051,438.535
10011000000000,12678767990,438.535
10012000000000,12569066335,438.557
10012000000000,12570105755,438.557
10012000000000,12584430515,438.557
10012000000000,12584431215,438.557
10012000000000,12576507164,438.557
10012000000000,12599931914,438.557
10012000000000,12604651415,438.557
10012000000000,12575672243,438.557
10012000000000,12580923979,438.557
10012000000000,12572518929,438.557
10012000000000,12609742115,438.557
10012000000000,12574574811,438.557
10012000000000,12586134919,438.557
10012000000000,12582430813,438.557
10012000000000,12582468653,438.557
10012000000000,12575269698,438.557
10012000000000,12585845273,438.557
10012000000000,12597652106,438.557
10012000000000,12592470029,438.557
10012000000000,12637365444,438.557
10012000000000,12608974256,438.557
10012000000000,12568847220,438.557
10012000000000,12568959300,438.557
10012000000000,12598502057,438.557
10012000000000,12583713928,438.557
10012000000000,12614606466,438.557
10012000000000,12615366156,438.557
10012000000000,12647257805,438.557
10012000000000,12614537087,438.557
10012000000000,12604268581,438.557
10012000000000,12610257793,438.557
10012000000000,12607500129,438.557
10012000000000,12655229164,438.557
10012000000000,12628072356,438.557
10012000000000,12611355538,438.557
10012000000000,12639931956,438.557
10012000000000,12627002887,438.557
10012000000000,12627958629,438.557
10012000000000,12624470462,438.557
10012000000000,12673648604,438.557
10012000000000,12629020701,438.557
10012000000000,12631770057,438.557
10012000000000,12676334674,438.557
10012000000000,12615440410,438.557
10012000000000,12680565475,438.557
10012000000000,12651217963,438.557
10012000000000,12638021508,438.557
10012000000000,12651569549,438.557
10012000000000,12688123334,438.557
10012000000000,12658586946,438.557
10012000000000,12654725207,438.557
10012000000000,12650104808,438.557
10012000000000,12628221260,438.557
10012000000000,12701313495,438.557
10012000000000,12654039482,438.557
10012000000000,12663189668,438.557
10012000000000,12661755643,438.557
10012000000000,12674038516,438.557
10012000000000,12658586431,438.557
10012000000000,12664622857,438.557
10012000000000,12675181849,438.557
10012000000000,12684509216,438.557
10012000000000,12677211318,438.557
10012000000000,12701493306,438.557
