mvir,x,y,z,rvir,rockstarid
1085400000000,6.87194,30.2266,0.45773,209.11,12568656750
186670000000,6.68263,30.3654,0.54017,116.289,12568656749
126450000000,7.92261,30.1308,0.45258,102.131,12568664177
109890000000,9.39891,29.7959,1.01106,97.463,12568665849
289040000000,10.829,29.4794,2.09614,134.534,12568660720
216780000000,11.3545,28.5378,0.29892,122.232,12568662670
103870000000,11.6752,26.845,7.27776,95.649,12568667095
114410000000,10.6001,25.6883,6.88348,98.78,12568666676
359790000000,13.73,28.6038,2.63899,144.72,12568659773
712060000000,12.6927,29.2722,3.35447,181.698,12568658152
961960000000,12.2803,30.2753,4.62863,200.862,12568657464
526890000000,12.0727,30.8089,5.2442,164.344,12568658938
123440000000,14.3665,28.029,4.33685,101.314,12568665638
915290000000,8.62303,30.4312,7.92899,197.56,12568657705
358290000000,8.5362,29.2153,12.3508,144.518,12568660609
130970000000,9.7822,24.9862,15.5921,103.333,12568666053
287530000000,9.99529,25.6929,15.2707,134.3,12568661173
197210000000,14.5124,23.4818,15.2013,118.437,12568662967
245380000000,21.0586,25.0353,14.8644,127.387,12568662047
537430000000,23.2363,24.4513,12.0567,165.432,12568659188
126450000000,22.6178,25.8833,8.92858,102.131,12568663175
213770000000,22.0002,23.9526,9.15318,121.663,12568662767
249900000000,22.686,23.8388,9.53377,128.164,12568660511
182150000000,23.0041,25.3546,9.34327,115.343,12568663139
225810000000,19.3104,30.9278,0.7311,123.907,12568662049
1571600000000,18.9988,30.4575,1.28035,236.572,12568656326
293550000000,18.671,29.6341,1.80162,135.231,12568660920
132480000000,18.7116,29.0398,2.25946,103.727,12568665933
102370000000,19.2653,28.51,3.22687,95.185,12568666739
212260000000,17.8872,29.066,1.88148,121.377,12568662050
130970000000,21.9682,27.0365,4.95177,103.333,12568661710
130970000000,22.1685,26.5164,6.64919,103.333,12568665331
778300000000,22.6596,27.4069,1.85218,187.166,12568657991
237850000000,23.0195,28.1651,0.64191,126.071,12568661393
155060000000,21.8737,27.7864,0.86566,109.314,12568664234
712060000000,20.9016,28.0076,1.84005,181.698,12568658367
289040000000,19.8577,28.5812,2.00596,134.534,12568660358
105380000000,26.629,27.8993,6.6623,96.109,12568667685
198710000000,27.7868,24.1297,6.28614,118.738,12568663308
170110000000,27.4987,26.2786,6.83183,112.743,12568662252
397430000000,29.8849,26.7004,3.71818,149.6,12568659377
118930000000,29.8483,23.471,3.18729,100.063,12568666821
138500000000,26.8424,26.5549,5.85712,105.275,12568665141
162580000000,25.8106,24.3615,7.35194,111.055,12568663718
126450000000,25.2943,24.5533,7.96622,102.131,12568666001
298070000000,26.5299,25.0863,9.5599,135.921,12568661325
155060000000,25.5654,23.7145,13.7748,109.314,12568664459
124950000000,24.4086,27.4675,12.8148,101.724,12568664458
258930000000,23.5658,27.4175,15.077,129.69,12568661966
258930000000,30.2638,26.2181,11.9306,129.69,12568661312
418500000000,30.411,24.3759,12.4902,152.199,12568659963
167100000000,28.6016,26.0873,11.4276,112.074,12568663041
102370000000,29.3799,26.0716,11.1762,95.185,12568667486
165600000000,29.4625,26.3278,11.0642,111.736,12568663409
143010000000,30.1244,26.4768,10.8481,106.407,12568660446
186670000000,30.3065,26.3941,11.0609,116.289,12568660447
507320000000,28.6947,21.1632,14.575,162.283,12568658551
133980000000,29.138,21.2639,13.9794,104.118,12568665393
275490000000,29.5558,21.3518,13.5564,132.398,12568661172
115920000000,29.9601,21.2499,12.6577,99.211,12568666522
121940000000,25.5621,17.2363,11.7611,100.9,12568666214
233340000000,27.0303,20.8177,14.8313,125.268,12568662214
382370000000,26.7701,22.3176,7.70904,147.687,12568660448
167100000000,27.0584,23.2656,6.74761,112.074,12568662308
108390000000,25.752,21.6478,1.36346,97.016,12568667687
177640000000,18.4642,19.6717,5.31688,114.382,12568663793
141510000000,18.3852,21.7479,9.88336,106.033,12568664499
130970000000,20.0777,22.599,11.272,103.333,12568665577
111400000000,21.8711,19.9038,16.3183,97.906,12568666738
152050000000,20.7373,23.2028,18.7068,108.602,12568664498
227320000000,17.5176,22.7522,15.9149,124.181,12568662620
201720000000,18.7808,23.0385,17.8846,119.334,12568662593
219790000000,18.9007,22.4038,18.0792,122.795,12568662111
133980000000,22.3944,23.0266,21.0778,104.118,12568664342
183660000000,23.2052,22.2175,26.3925,115.66,12568655869
1993200000000,23.3187,22.5394,26.3217,256.071,12568655871
837010000000,23.2678,22.5327,26.4073,191.759,12568655870
159570000000,22.6635,21.6453,27.841,110.365,12568662379
133980000000,22.7613,23.2331,28.6712,104.118,12568666292
221300000000,19.4963,30.3388,28.0255,123.075,12568661965
221300000000,23.1469,29.4461,23.7573,123.075,12568662822
117420000000,23.3104,28.6244,25.8222,99.639,12568663258
118930000000,20.3696,29.0274,23.9955,100.063,12568666362
636790000000,19.8112,29.1066,28.8136,175.056,12568658096
581090000000,19.937,28.1791,28.9454,169.796,12568659013
141510000000,19.9638,28.2347,28.9371,106.033,12568659014
840020000000,22.9445,25.8172,27.5725,191.989,12568657507
111400000000,23.2584,26.0288,29.6726,97.906,12568654974
3146300000000,23.2948,26.0201,29.6851,298.158,12568654975
337210000000,21.7191,25.6777,30.1641,141.627,12568657293
690980000000,21.958,25.6543,30.2353,179.888,12568657294
541950000000,21.2946,26.6311,30.0023,165.894,12568658894
430550000000,23.1903,23.7689,26.5328,153.645,12568659633
438070000000,23.1139,23.8593,18.8339,154.536,12568660046
155060000000,23.1347,23.8888,18.8514,109.314,12568660047
706040000000,23.201,25.9439,16.5812,181.185,12568657980
114410000000,21.5315,26.234,18.1917,98.78,12568666142
1102000000000,21.0341,25.4114,17.9436,210.169,12568657097
2717300000000,17.9793,24.3974,18.962,283.938,12568655407
275490000000,18.0815,24.3826,18.97,132.398,12568655408
295060000000,19.2089,23.7394,20.277,135.462,12568661231
103870000000,19.5231,29.8151,22.2866,95.649,12568658069
188180000000,16.1449,28.0706,18.6826,116.601,12568663140
102370000000,19.8446,29.0957,20.9581,95.185,12568664036
778300000000,19.548,29.78,22.3186,187.166,12568658070
102370000000,22.5143,28.7444,22.6928,95.185,12568666908
192690000000,23.6473,28.3205,21.7562,117.526,12568663259
258930000000,27.2693,30.9653,21.9298,129.69,12568661708
102370000000,23.4524,28.6936,16.4598,95.185,12568668007
535930000000,24.1863,27.9175,17.5664,165.278,12568659191
186670000000,29.2566,30.067,20.3234,116.289,12568663491
105380000000,30.9445,24.425,21.8475,96.109,12568667568
192690000000,28.9556,23.8259,21.4071,117.526,12568659976
167100000000,29.0867,23.7996,21.6757,112.074,12568659977
225810000000,29.2956,26.6285,17.225,123.907,12568662766
185170000000,23.5083,26.3769,15.749,115.975,12568663787
111400000000,25.6462,24.0913,20.0298,97.906,12568664819
192690000000,26.5096,23.8925,31.192,117.526,12568656800
103870000000,25.3032,28.8958,28.7586,95.649,12568662905
647330000000,26.5946,30.3114,28.8066,176.017,12568658410
1391000000000,26.7881,31.2236,28.3419,227.137,12568656033
951420000000,26.8399,31.1536,28.5073,200.126,12568656035
102370000000,23.9875,30.1145,27.2731,95.185,12568667675
106880000000,29.5631,30.7284,29.4121,96.564,12568664777
120430000000,30.7247,30.8167,29.8207,100.483,12568665631
102370000000,27.7836,26.9503,28.2058,95.185,12568666995
487750000000,29.0066,20.4555,27.1465,160.169,12568659127
283020000000,29.1328,20.962,26.9979,133.593,12568661058
846040000000,30.7296,20.9574,25.6889,192.446,12568657838
426030000000,29.3987,22.5698,26.8682,153.106,12568659719
109890000000,28.5766,20.1768,27.4074,97.463,12568655775
823460000000,27.6551,20.0396,27.9818,190.719,12568655773
123440000000,28.0741,20.1488,27.6473,101.314,12568655774
907760000000,28.2808,20.3615,27.7178,197.017,12568655776
173120000000,25.7356,22.5399,27.5501,113.404,12568663221
426030000000,25.0575,23.3302,28.5978,153.106,12568659814
492270000000,25.2614,21.275,29.3016,160.662,12568658648
111400000000,25.5145,21.0023,26.035,97.906,12568666136
286030000000,25.5572,22.8642,27.1723,134.065,12568661447
534420000000,25.2381,22.2301,24.9335,165.123,12568658553
383880000000,25.2162,22.6095,24.1851,147.88,12568659157
106880000000,24.9368,23.097,25.1555,96.564,12568667476
103870000000,25.2074,21.0001,24.0151,95.649,12568668211
227320000000,25.3587,17.5944,25.0071,124.181,12568661650
301080000000,25.898,16.9835,26.6506,136.377,12568660843
150540000000,26.4047,17.8755,27.7561,108.242,12568664686
1806500000000,25.5404,18.9353,29.7675,247.813,12568656155
216780000000,24.9065,17.2489,31.1207,122.232,12568662378
162580000000,24.7816,22.7764,23.4062,111.055,12568664140
246890000000,24.5174,23.0278,22.3151,127.647,12568662142
269470000000,25.3918,22.7835,23.0914,131.426,12568659383
7703200000000,25.965,23.1964,22.2478,401.855,12568653593
302590000000,26.0158,23.1566,22.081,136.604,12568653592
264950000000,27.428,22.4569,19.9716,130.688,12568661322
133980000000,28.6827,8.03598,16.3515,104.118,12568666216
129470000000,27.0339,8.15123,21.1701,102.935,12568656692
170110000000,27.3044,7.85219,20.5716,112.743,12568656690
912280000000,27.3262,7.88719,20.7986,197.343,12568656691
1449700000000,26.2866,10.6073,23.3534,230.289,12568656371
498290000000,28.8696,15.2044,28.1658,161.314,12568659324
152050000000,29.7078,11.5382,28.6978,108.602,12568663832
138500000000,28.8053,11.6365,29.3491,105.275,12568664687
472700000000,27.6257,10.4724,26.6541,158.504,12568659325
284520000000,27.7061,8.51007,24.4323,133.829,12568660917
227320000000,26.8473,8.83939,26.1371,124.181,12568660425
906260000000,27.2616,8.96784,25.3729,196.908,12568657240
155060000000,25.0826,10.8636,26.2892,109.314,12568661469
257430000000,24.7909,11.0182,27.0991,129.438,12568655036
1037200000000,24.9657,10.8707,27.204,205.97,12568655038
338720000000,26.2151,10.5341,23.5343,141.838,12568656373
439580000000,27.0351,9.82113,26.2859,154.712,12568659406
124950000000,27.2752,10.251,26.6298,101.724,12568665719
258930000000,26.1593,8.87354,29.9138,129.69,12568660373
182150000000,23.6386,7.90342,28.1696,115.343,12568663752
716580000000,25.3234,8.27385,29.4653,182.082,12568658154
153550000000,25.3328,8.70031,29.8563,108.959,12568663990
970990000000,23.6038,9.16464,30.7501,201.489,12568656721
100860000000,23.6205,10.7421,28.5348,94.716,12568663013
1579200000000,24.6081,10.829,27.5019,236.95,12568655042
112910000000,23.6298,12.9412,30.1182,98.345,12568666675
112910000000,25.8572,13.6308,26.7306,98.345,12568665633
115920000000,22.2942,12.003,29.9342,99.211,12568665388
210760000000,15.7024,13.5665,29.6013,121.09,12568662307
404960000000,22.9479,9.84824,29.0352,150.539,12568660201
764750000000,22.8442,10.7552,29.4282,186.074,12568657897
108390000000,22.774,9.58006,29.5338,97.016,12568666814
102370000000,21.5213,9.24982,30.9202,95.185,12568653325
8924100000000,21.697,9.207,30.8095,422.053,12568653326
111400000000,22.1991,9.61532,30.5828,97.906,12568653316
