mvir,x,y,z,rockstarid
26301000000000,56.8938,93.2108,6.3017,12569248674
26751000000000,8.42084,62.5415,15.8126,12568651643
27066000000000,19.6295,46.8728,27.8827,12568651033
27414000000000,40.6254,86.1387,45.4733,12569248457
27636000000000,60.0459,41.4022,18.4095,12568651566
29179000000000,20.679,17.1843,47.0179,12568651607
29721000000000,22.8702,7.00536,75.0283,12568651659
30423000000000,33.5889,29.2726,35.0564,12568651385
30876000000000,8.57597,6.30775,47.2658,12568650132
31197000000000,4.01343,3.50947,55.9588,12568650428
31522000000000,38.9692,96.8522,69.7095,12569248354
31674000000000,65.717,31.1127,1.75277,12568651586
31850000000000,83.2991,35.2656,76.8454,12577989373
32250000000000,64.3852,33.2941,21.0827,12568651213
32905000000000,87.2094,32.5096,59.7671,12577988664
33155000000000,23.8242,19.3131,40.4818,12568651291
33559000000000,84.1804,62.2043,60.493,12578569690
33792000000000,93.2148,34.0366,67.4835,12577989558
34113000000000,30.3003,6.9671,78.3017,12568688816
34332000000000,70.9985,63.9829,49.5312,12578570142
35069000000000,25.2707,15.3922,83.9036,12568689581
35413000000000,41.7885,46.7347,22.004,12568651536
36067000000000,41.2882,55.7606,76.0878,12568649929
36094000000000,40.6365,73.8224,13.0421,12569247574
36146000000000,76.1135,89.7953,90.2198,12578568893
36219000000000,32.9278,97.6534,69.6481,12569248194
36499000000000,96.7651,3.40339,12.1549,12577989220
36785000000000,12.2958,71.8481,22.6616,12569248239
37000000000000,11.2863,35.4238,97.459,12568689951
37312000000000,10.0326,50.9397,15.7446,12568650907
37497000000000,59.8289,5.19358,40.1614,12568651257
37689000000000,9.35709,45.5349,19.6287,12568651110
38269000000000,42.543,83.6229,69.3587,12569247937
39649000000000,7.14484,9.9938,55.9121,12568650716
40526000000000,42.0127,57.4341,74.0501,12568649884
40657000000000,9.93585,43.1935,32.8029,12568650816
42757000000000,34.9113,59.3968,86.7322,12568689506
43004000000000,31.8361,6.6199,78.4856,12568688852
43749000000000,64.2412,65.894,12.6784,12568650992
44187000000000,16.7008,5.22024,61.8548,12568651091
45411000000000,44.0333,43.8219,73.933,12568651183
46621000000000,49.0287,36.8143,24.0582,12568650506
47270000000000,32.0696,68.9247,26.3474,12569247986
48765000000000,84.4457,34.2233,86.0506,12578027750
49757000000000,2.97935,2.69894,55.2245,12568650394
49895000000000,23.4409,81.6559,56.3582,12569247323
51530000000000,36.2814,73.2601,74.8614,12569287262
53547000000000,33.8099,66.5083,3.54364,12568650946
54645000000000,57.224,87.7768,19.873,12569247473
54770000000000,40.2232,54.5829,76.7385,12568649848
60934000000000,40.8158,82.4401,65.2569,12569247689
60960000000000,58.8107,76.0467,12.8136,12569247221
61564000000000,66.2131,31.4896,20.3041,12568650673
64106000000000,60.4266,84.4974,16.9943,12569247548
64167000000000,0.76615,6.85237,89.3295,12568689311
65187000000000,28.9323,1.70073,62.1242,12568650530
71525000000000,19.5288,84.4463,82.6968,12569286880
73104000000000,31.1238,95.7497,68.6507,12569247177
73440000000000,55.2444,61.6124,59.5111,12568649613
79225000000000,52.3406,83.9621,24.5986,12569247091
79633000000000,21.2412,16.2372,84.3407,12568688675
90823000000000,6.72896,5.55251,49.4672,12568650178
97347000000000,84.0984,53.2394,2.59884,12577987716
102830000000000,57.3909,60.7665,61.2651,12568649757
107900000000000,45.4065,60.8762,44.7665,12568650313
117880000000000,4.67995,57.9087,21.184,12568649498
129970000000000,49.1602,84.2643,73.5804,12569246965
143180000000000,12.3338,62.4137,13.0596,12568650086
181160000000000,3.15515,16.4011,92.0965,12568688154
