x_0,x_1
82.5662,95.1313
82.5662,63.8361
64.1128,74.2789
51.0989,58.9097
51.0989,49.1602
51.0989,50.5409
51.0989,63.8361
51.0989,42.543
51.0989,38.3128
51.0989,36.2814
51.0989,50.1976
51.0989,40.8158
51.0989,54.6616
14.1536,15.2025
14.1536,11.0276
14.1536,3.30739
14.1536,3.88711
14.1536,19.119
14.1536,11.2863
14.1536,21.2412
14.1536,25.2707
14.1536,4.64622
96.9563,95.1313
96.9563,94.4322
96.9563,92.1247
96.9563,80.1813
46.9998,41.7885
46.9998,49.0287
46.9998,47.704
46.9998,39.073
46.9998,48.9799
46.9998,37.3428
46.9998,41.401
46.9998,60.0459
46.9998,41.6431
46.9998,38.5799
46.9998,48.0123
46.9998,63.4
46.9998,35.3228
46.9998,40.0238
46.9998,35.146
29.4471,25.2707
29.4471,30.3003
29.4471,21.2412
29.4471,31.8361
29.4471,19.119
29.4471,25.1855
29.4471,22.8702
29.4471,38.2936
29.4471,25.1478
35.146,35.0097
35.146,32.0696
35.146,30.0773
35.146,30.428
35.146,41.7885
35.146,39.073
35.146,22.3781
35.146,37.3428
35.146,32.7734
35.146,36.3822
16.1625,14.408
16.1625,12.2958
16.1625,10.9247
16.1625,9.47296
16.1625,5.50422
16.1625,30.0773
16.1625,6.58951
16.1625,30.428
16.1625,32.0696
16.1625,1.76199
16.1625,4.48077
16.1625,8.42084
16.1625,12.3338
16.1625,4.67995
16.1625,5.12592
16.1625,35.0097
71.6866,80.1813
71.6866,76.1135
71.6866,75.8617
71.6866,75.1989
71.6866,61.4492
96.456,97.961
96.456,99.3229
96.456,84.1804
96.456,82.4213
21.828,26.0686
21.828,20.679
21.828,27.2796
21.828,16.7008
21.828,10.1033
21.828,23.8242
21.828,8.57597
21.828,7.14484
21.828,28.9323
21.828,8.09162
21.828,12.0842
21.828,6.72896
21.828,30.7268
21.828,27.9689
21.828,25.1478
21.828,27.7266
21.828,37.8505
21.828,4.01343
94.4322,95.1313
94.4322,80.1813
94.4322,76.1135
94.4322,75.8617
94.4322,75.1989
80.1813,76.1135
80.1813,75.8617
80.1813,75.1989
80.1813,92.1247
80.1813,95.1313
80.1813,61.4492
41.6431,38.5799
41.6431,37.3428
41.6431,35.3228
41.6431,39.073
41.6431,41.7885
41.6431,48.0123
41.6431,43.4093
41.6431,49.4851
55.6101,45.6681
55.6101,41.4326
55.6101,41.5349
55.6101,45.4065
55.6101,52.3406
55.6101,52.8361
52.8361,57.224
52.8361,57.427
52.8361,60.4266
52.8361,45.6681
52.8361,49.727
52.8361,59.7329
52.8361,58.8107
52.8361,52.8386
52.8361,36.3822
52.8361,42.3459
52.8361,40.6365
52.8361,56.8938
47.704,41.401
47.704,40.0238
47.704,41.7885
47.704,58.795
47.704,48.0123
47.704,60.0459
47.704,39.073
47.704,63.4
47.704,64.3852
47.704,37.3428
47.704,33.5889
47.704,66.2131
47.704,38.5799
37.3428,38.5799
37.3428,35.3228
37.3428,41.7885
37.3428,48.0123
37.3428,49.0287
37.3428,48.9799
37.3428,22.3781
28.7218,34.9113
28.7218,40.2232
28.7218,41.0709
28.7218,41.2882
28.7218,19.059
28.7218,21.7357
28.7218,42.0127
28.7218,13.5772
28.7218,28.718
28.7218,44.0333
28.7218,15.2025
53.9193,59.8289
53.9193,57.5476
48.0576,50.7496
48.0576,44.0333
48.0576,40.2232
48.0576,41.2882
48.0576,42.0127
48.0576,41.0709
48.0576,50.1976
50.7496,44.0333
50.7496,41.2882
50.7496,42.0127
50.7496,40.2232
50.7496,41.0709
50.7496,50.1976
50.7496,57.3909
61.4492,60.3764
61.4492,75.1989
61.4492,75.8617
61.4492,76.1135
61.4492,58.6791
40.0238,41.401
40.0238,33.5889
40.0238,48.9799
40.0238,49.0287
40.0238,27.9689
40.0238,58.795
40.0238,41.7885
19.119,25.2707
19.119,22.8702
19.119,25.1855
19.119,30.3003
19.119,4.64622
19.119,31.8361
19.119,3.15515
19.119,9.13155
19.119,3.88711
41.4326,40.6254
41.4326,45.6681
41.4326,43.0388
41.4326,40.458
41.4326,36.3822
41.4326,34.0436
41.4326,30.428
41.4326,45.4065
13.5772,19.059
13.5772,15.2025
13.5772,21.7357
13.5772,11.0276
21.757,29.9898
21.757,34.0436
21.757,26.9839
21.757,40.458
9.47296,10.9247
9.47296,1.76199
9.47296,5.50422
9.47296,8.42084
9.47296,6.58951
9.47296,4.48077
9.47296,14.408
9.47296,12.3338
9.47296,4.67995
9.47296,5.12592
43.0388,40.458
43.0388,41.5349
43.0388,45.6681
43.0388,34.0436
43.0388,40.8158
43.0388,29.9898
73.0689,64.2412
73.0689,82.7075
73.0689,83.2318
73.0689,85.4784
73.0689,84.0984
73.0689,80.3495
84.287,74.2789
35.3228,38.5799
35.3228,39.073
35.3228,41.7885
35.3228,48.0123
35.3228,49.4851
63.4,60.0459
63.4,64.3852
63.4,66.2131
63.4,58.795
63.4,67.2702
63.4,48.9799
63.4,49.0287
63.4,48.0123
63.4,65.717
57.427,57.224
57.427,59.7329
57.427,60.4266
57.427,52.8386
57.427,52.3406
57.427,56.8938
57.427,58.8107
57.427,46.1242
57.427,49.727
50.5409,42.543
50.5409,42.7197
50.5409,40.8158
50.5409,58.6791
50.5409,58.9097
50.5409,38.9692
50.5409,60.3764
50.5409,36.2814
50.5409,63.8361
50.5409,38.3128
