z_0,z_1
85.5551,84.3407
85.5551,78.4856
85.5551,84.8053
85.5551,76.0559
85.5551,75.0283
85.5551,76.003
85.5551,68.7236
27.5135,26.9197
27.5135,26.3474
27.5135,24.126
27.5135,26.4987
27.5135,22.004
27.5135,17.0705
27.5135,27.6651
27.5135,15.2665
27.5135,46.2113
27.5135,25.8215
29.4058,29.1502
29.4058,22.6616
29.4058,24.2866
29.4058,22.5004
29.4058,22.905
29.4058,24.126
29.4058,21.3897
29.4058,26.4987
29.4058,26.3474
29.4058,21.1052
29.4058,20.8101
29.4058,15.8126
29.4058,13.0596
29.4058,21.184
29.4058,25.8065
29.4058,26.9197
98.2062,95.1483
98.2062,90.2198
98.2062,89.6333
98.2062,89.113
98.2062,92.4005
61.6855,61.1756
61.6855,61.0793
61.6855,60.493
61.6855,59.6069
52.2435,48.7537
52.2435,47.0179
52.2435,59.6586
52.2435,61.8548
52.2435,57.799
52.2435,40.4818
52.2435,47.2658
52.2435,55.9121
52.2435,62.1242
52.2435,45.2444
52.2435,39.8357
52.2435,49.4672
52.2435,63.6091
52.2435,39.7902
52.2435,68.7236
52.2435,67.3755
52.2435,50.1011
52.2435,55.9588
91.0416,82.7034
91.0416,95.1483
91.0416,90.2198
91.0416,89.6333
91.0416,89.113
95.1483,90.2198
95.1483,89.6333
95.1483,89.113
95.1483,90.4557
95.1483,82.7034
95.1483,92.4005
9.56048,10.7197
9.56048,15.2665
9.56048,9.14387
9.56048,17.0705
9.56048,22.004
9.56048,10.5103
9.56048,7.30074
9.56048,0.5351
38.7284,35.1933
38.7284,41.7297
38.7284,42.3589
38.7284,44.7665
38.7284,24.5986
38.7284,23.7732
23.7732,19.873
23.7732,17.9363
23.7732,16.9943
23.7732,35.1933
23.7732,16.2902
23.7732,13.2128
23.7732,12.8136
23.7732,13.8148
23.7732,25.8215
23.7732,13.4767
23.7732,13.0421
23.7732,6.3017
24.5847,30.112
24.5847,29.1715
24.5847,22.004
24.5847,23.3282
24.5847,10.5103
24.5847,18.4095
24.5847,17.0705
24.5847,19.0643
24.5847,21.0827
24.5847,15.2665
24.5847,35.0564
24.5847,20.3041
24.5847,10.7197
15.2665,10.7197
15.2665,9.14387
15.2665,22.004
15.2665,10.5103
15.2665,24.0582
15.2665,22.6693
15.2665,27.6651
79.9882,86.7322
79.9882,76.7385
79.9882,76.4047
79.9882,76.0878
79.9882,81.3608
79.9882,80.0238
79.9882,74.0501
79.9882,86.2703
79.9882,87.2306
79.9882,73.933
79.9882,87.9466
32.9354,40.1614
32.9354,21.7369
70.551,67.9615
70.551,73.933
70.551,76.7385
70.551,76.0878
70.551,74.0501
70.551,76.4047
70.551,67.6563
67.9615,73.933
67.9615,76.0878
67.9615,74.0501
67.9615,76.7385
67.9615,76.4047
67.9615,67.6563
67.9615,61.2651
92.4005,80.1071
92.4005,89.113
92.4005,89.6333
92.4005,90.2198
92.4005,78.1909
29.1715,30.112
29.1715,35.0564
29.1715,22.6693
29.1715,24.0582
29.1715,39.7902
29.1715,23.3282
29.1715,22.004
84.8053,83.9036
84.8053,75.0283
84.8053,76.0559
84.8053,78.3017
84.8053,92.2784
84.8053,78.4856
84.8053,92.0965
84.8053,95.9705
84.8053,91.3752
41.7297,45.4733
41.7297,35.1933
41.7297,46.7247
41.7297,52.5858
41.7297,25.8215
