y_0,y_1
87.1492,92.7719
49.0099,47.4765
49.0099,46.8988
49.0099,44.1401
49.0099,46.7856
49.0099,46.7347
49.0099,35.1735
49.0099,64.3886
49.0099,35.2979
73.5229,84.0255
73.5229,79.7831
73.5229,81.1417
73.5229,60.8762
73.5229,83.9621
73.5229,84.3939
84.3939,87.7768
84.3939,90.1092
84.3939,84.4974
84.3939,84.0255
84.3939,73.5674
84.3939,90.6586
84.3939,76.0467
84.3939,98.104
84.3939,79.8018
84.3939,74.5916
84.3939,73.8224
84.3939,93.2108
36.4174,33.3815
36.4174,28.3702
36.4174,46.7347
36.4174,28.5126
36.4174,35.1735
36.4174,41.4022
36.4174,46.7856
36.4174,37.7655
36.4174,33.2941
36.4174,46.8988
36.4174,29.2726
36.4174,31.4896
36.4174,47.4765
46.8988,47.4765
46.8988,44.1401
46.8988,46.7347
46.8988,35.1735
46.8988,36.8143
46.8988,35.026
46.8988,47.7202
54.3438,59.3968
54.3438,54.5829
54.3438,56.3615
54.3438,55.7606
54.3438,63.7657
54.3438,67.0742
54.3438,57.4341
54.3438,54.3549
54.3438,71.7154
54.3438,43.8219
54.3438,42.2467
10.4577,5.19358
10.4577,14.4313
44.5695,43.8098
44.5695,43.8219
44.5695,54.5829
44.5695,55.7606
44.5695,57.4341
44.5695,56.3615
44.5695,63.1439
43.8098,43.8219
43.8098,55.7606
43.8098,57.4341
43.8098,54.5829
43.8098,56.3615
43.8098,63.1439
43.8098,60.7665
92.7719,97.8173
92.7719,89.9642
92.7719,90.0343
92.7719,89.7953
92.7719,97.2209
28.3702,33.3815
28.3702,29.2726
28.3702,35.026
28.3702,36.8143
28.3702,22.1856
28.3702,28.5126
28.3702,46.7347
16.6284,15.3922
16.6284,7.00536
16.6284,6.41786
16.6284,6.9671
16.6284,17.721
16.6284,6.6199
16.6284,16.4011
16.6284,6.87267
16.6284,24.4604
79.7831,86.1387
79.7831,84.0255
79.7831,87.0655
79.7831,86.3011
79.7831,79.8018
79.7831,76.0287
79.7831,75.9228
79.7831,60.8762
54.3549,63.7657
54.3549,42.2467
54.3549,67.0742
54.3549,42.7411
80.6358,83.1558
80.6358,76.0287
80.6358,74.762
80.6358,86.3011
71.676,64.1144
71.676,66.4051
71.676,62.5577
71.676,62.5415
71.676,60.5757
71.676,60.6789
71.676,62.4377
71.676,62.4137
71.676,57.9087
71.676,54.2923
87.0655,86.3011
87.0655,81.1417
87.0655,84.0255
87.0655,76.0287
87.0655,82.4401
87.0655,83.1558
62.0896,65.894
62.0896,54.0094
62.0896,53.9657
62.0896,54.9463
62.0896,53.2394
62.0896,47.5438
95.8902,85.9336
44.1401,47.4765
44.1401,46.7856
44.1401,46.7347
44.1401,35.1735
44.1401,35.2979
37.7655,41.4022
37.7655,33.2941
37.7655,31.4896
37.7655,28.5126
37.7655,28.1271
37.7655,35.026
37.7655,36.8143
37.7655,35.1735
37.7655,31.1127
90.1092,87.7768
90.1092,90.6586
90.1092,84.4974
90.1092,98.104
90.1092,83.9621
90.1092,93.2108
90.1092,76.0467
90.1092,88.2099
90.1092,73.5674
86.0055,83.6229
86.0055,95.7774
86.0055,82.4401
