idc,idr
299481:348244,12568651643:12569248239
299481:483676,12568651643:x-12698118766
299481:351356,12568651643:12568651110
301631:360404,12568651033:12568650816
301631:351356,12568651033:12568651110
301631:350072,12568651033:12568650907
301631:431790,12568651033:12568649498
305274:329974,12568651566:12568651213
305274:398823,12568651566:12568650673
305274:375113,12568651566:12568650506
305274:343227,12568651566:12568651536
314527:333997,12568651607:12568651291
314527:323513,12568651607:12568650132
314527:357512,12568651607:12568650716
314527:421673,12568651607:12568650178
314527:369672,12568651607:12568651091
317539:338118,12568651659:12568688816
317539:366749,12568651659:12568688852
317539:494928,12568651659:y-12577409159
317539:341864,12568651659:12568689581
317539:494270,12568651659:y-12577409105
317539:490247,12568651659:y-12577410243
317539:414954,12568651659:12568688675
317539:369672,12568651659:12568651091
317539:402934,12568651659:12568650530
317539:497506,12568651659:y-12577407829
321281:333997,12568651385:12568651291
323513:357512,12568650132:12568650716
323513:325093,12568650132:12568650428
323513:381312,12568650132:12568650394
323513:482518,12568650132:x-12697546861
323513:369672,12568650132:12568651091
323513:494311,12568650132:y-12577409420
323513:482577,12568650132:x-12697546886
325093:482518,12568650428:x-12697546861
325093:357512,12568650428:12568650716
325093:421673,12568650428:12568650178
325093:480808,12568650428:x-12697544737
325093:369672,12568650428:12568651091
325093:489343,12568650428:x-12697544726
325093:487302,12568650428:x-12697544467
325093:485704,12568650428:x-12697543485
325093:482577,12568650428:x-12697546886
325093:487103,12568650428:x-12697544498
325093:483399,12568650428:x-12697543433
325093:495939,12568650428:y-12577408846
325093:486581,12568650428:x-12697543529
325093:484112,12568650428:x-12697582273
325093:487515,12568650428:x-12697580892
325093:489395,12568650428:x-12697542462
326688:346156,12569248354:12569248194
326688:410161,12569248354:12569247177
326688:353267,12569248354:12569247937
326688:398088,12569248354:12569247689
326688:434827,12569248354:12569246965
327406:398823,12568651586:12568650673
327406:329974,12568651586:12568651213
327406:502302,12568651586:z-12569213108
328197:379478,12577989373:12578027750
328197:336765,12577989373:12577989558
328197:332944,12577989373:12577988664
329974:375113,12568651213:12568650506
332944:336765,12577988664:12577989558
335778:338986,12578569690:12578570142
338118:341864,12568688816:12568689581
338118:494928,12568688816:y-12577409159
338118:494270,12568688816:y-12577409105
338118:490247,12568688816:y-12577410243
338118:414954,12568688816:12568688675
338118:497506,12568688816:y-12577407829
338118:402934,12568688816:12568650530
338118:490364,12568688816:y-12577407659
338118:497075,12568688816:y-12577407636
338118:496217,12568688816:y-12577408746
338986:426980,12578570142:12568649757
338986:410451,12578570142:12568649613
341864:414954,12568689581:12568688675
341864:366749,12568689581:12568688852
343227:375113,12568651536:12568650506
345615:372537,12568649929:12568651183
345615:366148,12568649929:12568689506
345615:384455,12568649929:12569287262
345710:387831,12569247574:12568650946
345710:376468,12569247574:12569247986
345710:507442,12569247574:z-12569804765
345710:506631,12569247574:z-12569806262
345710:398121,12569247574:12569247221
345710:506044,12569247574:z-12569804658
345710:414682,12569247574:12569247091
346156:353267,12569248194:12569247937
346156:398088,12569248194:12569247689
347248:497622,12577989220:y-12586751997
347248:493247,12577989220:y-12586753745
347248:493899,12577989220:y-12586753625
347248:493672,12577989220:y-12586753775
347248:496243,12577989220:y-12586753026
347248:498173,12577989220:y-12586751535
348244:437448,12569248239:12568650086
348244:431790,12569248239:12568649498
349010:483964,12568689951:x-12697582104
349010:484016,12568689951:x-12697582088
349010:484236,12568689951:x-12697579168
349010:483958,12568689951:x-12697582072
349010:489071,12568689951:x-12697579147
349010:481338,12568689951:x-12697582586
350072:351356,12568650907:12568651110
350072:431790,12568650907:12568649498
350072:437448,12568650907:12568650086
350072:482189,12568650907:x-12697546875
350072:480557,12568650907:x-12697547258
350072:360404,12568650907:12568650816
350727:492645,12568651257:y-12577409797
351356:431790,12568651110:12568649498
351356:360404,12568651110:12568650816
351356:482189,12568651110:x-12697546875
351356:480557,12568651110:x-12697547258
351356:437448,12568651110:12568650086
351356:480376,12568651110:x-12697547382
353267:398088,12569247937:12569247689
353267:434827,12569247937:12569246965
353267:384455,12569247937:12569287262
353267:410161,12569247937:12569247177
357512:421673,12568650716:12568650178
357512:381312,12568650716:12568650394
357512:482518,12568650716:x-12697546861
357512:369672,12568650716:12568651091
357512:480808,12568650716:x-12697544737
357512:482577,12568650716:x-12697546886
357512:485704,12568650716:x-12697543485
357512:489343,12568650716:x-12697544726
357512:483399,12568650716:x-12697543433
357512:486581,12568650716:x-12697543529
357512:484112,12568650716:x-12697582273
360031:389691,12568649884:12568649848
360031:372537,12568649884:12568651183
360031:366148,12568649884:12568689506
360031:384455,12568649884:12569287262
360404:480763,12568650816:x-12697546630
360404:482091,12568650816:x-12697546910
360404:431790,12568650816:12568649498
366148:389691,12568689506:12568649848
366148:384455,12568689506:12569287262
366749:494928,12568688852:y-12577409159
366749:494270,12568688852:y-12577409105
366749:490247,12568688852:y-12577410243
366749:497506,12568688852:y-12577407829
366749:414954,12568688852:12568688675
366749:490364,12568688852:y-12577407659
366749:402934,12568688852:12568650530
366749:497075,12568688852:y-12577407636
366749:496217,12568688852:y-12577408746
366749:496582,12568688852:y-12577447944
366749:492141,12568688852:y-12577407701
366749:490808,12568688852:y-12577450199
366749:489542,12568688852:y-12577447908
368572:398121,12568650992:12569247221
368572:401777,12568650992:12569247548
369672:402934,12568651091:12568650530
369672:381312,12568651091:12568650394
369672:421673,12568651091:12568650178
369672:494311,12568651091:y-12577409420
369672:494928,12568651091:y-12577409159
369672:490247,12568651091:y-12577410243
369672:482518,12568651091:x-12697546861
372537:389691,12568651183:12568649848
375113:398823,12568650506:12568650673
381312:482518,12568650394:x-12697546861
381312:421673,12568650394:12568650178
381312:480808,12568650394:x-12697544737
381312:489343,12568650394:x-12697544726
381312:487302,12568650394:x-12697544467
381312:485704,12568650394:x-12697543485
381312:482577,12568650394:x-12697546886
381312:487103,12568650394:x-12697544498
381312:483399,12568650394:x-12697543433
381312:495939,12568650394:y-12577408846
381312:486581,12568650394:x-12697543529
381312:487515,12568650394:x-12697580892
381312:489395,12568650394:x-12697542462
381312:484112,12568650394:x-12697582273
381312:484071,12568650394:x-12697546759
381312:484000,12568650394:x-12697542382
381565:398088,12569247323:12569247689
384455:398088,12569287262:12569247689
384455:434827,12569287262:12569246965
384455:389691,12569287262:12568649848
387831:499440,12568650946:z-12569213214
387831:500531,12568650946:z-12569213125
387831:504926,12568650946:z-12569212338
387831:506631,12568650946:z-12569806262
387831:507442,12568650946:z-12569804765
387831:499563,12568650946:z-12569213660
387831:506044,12568650946:z-12569804658
389520:401777,12569247473:12569247548
389520:414682,12569247473:12569247091
389520:398121,12569247473:12569247221
398088:434827,12569247689:12569246965
398088:410161,12569247689:12569247177
398121:401777,12569247221:12569247548
398121:414682,12569247221:12569247091
398121:502998,12569247221:z-12569808127
398121:507442,12569247221:z-12569804765
401777:414682,12569247548:12569247091
401830:485159,12568689311:x-12697581359
401830:442526,12568689311:12568688154
401830:487213,12568689311:x-12697580964
401830:487104,12568689311:x-12697581074
401830:480604,12568689311:x-12697582296
401830:483958,12568689311:x-12697582072
401830:493495,12568689311:y-12577449568
401830:484112,12568689311:x-12697582273
402934:494928,12568650530:y-12577409159
402934:490247,12568650530:y-12577410243
402934:490364,12568650530:y-12577407659
402934:497075,12568650530:y-12577407636
402934:492141,12568650530:y-12577407701
402934:494311,12568650530:y-12577409420
402934:496407,12568650530:y-12577408586
402934:492542,12568650530:y-12577409762
402934:492091,12568650530:y-12577409984
402934:497506,12568650530:y-12577407829
402934:494270,12568650530:y-12577409105
402934:489742,12568650530:y-12577410159
410451:428783,12568649613:12568650313
414954:442526,12568688675:12568688154
421673:482518,12568650178:x-12697546861
421673:482577,12568650178:x-12697546886
421673:480808,12568650178:x-12697544737
421673:483399,12568650178:x-12697543433
421673:494311,12568650178:y-12577409420
421673:485704,12568650178:x-12697543485
424769:507631,12577987716:z-12578534037
424769:500364,12577987716:z-12578537530
424769:501474,12577987716:z-12578537121
424769:503065,12577987716:z-12578537082
424769:506477,12577987716:z-12579123206
424769:501147,12577987716:z-12578537637
424769:505287,12577987716:z-12578536223
424769:503966,12577987716:z-12578534949
424769:507058,12577987716:z-12578534901
424769:505395,12577987716:z-12578534937
431790:482189,12568649498:x-12697546875
431790:480557,12568649498:x-12697547258
431790:437448,12568649498:12568650086
431790:483676,12568649498:x-12698118766
437448:482189,12568650086:x-12697546875
437448:480557,12568650086:x-12697547258
437448:500531,12568650086:z-12569213125
442526:483958,12568688154:x-12697582072
442526:480604,12568688154:x-12697582296
442526:485159,12568688154:x-12697581359
442526:487104,12568688154:x-12697581074
442526:483964,12568688154:x-12697582104
442526:481338,12568688154:x-12697582586
442526:486332,12568688154:x-12697581493
442526:487213,12568688154:x-12697580964
442526:481205,12568688154:x-12697582750
