idc,idr
29357:88488,12568653099:12568652072
29357:143038,12568653099:12568650750
29357:314527,12568653099:12568651607
29357:357512,12568653099:12568650716
29357:220287,12568653099:12568652094
29357:323513,12568653099:12568650132
29357:265973,12568653099:12568651847
29357:369672,12568653099:12568651091
29357:421673,12568653099:12568650178
29357:51782,12568653099:12568652945
29357:169803,12568653099:12568652452
29357:43698,12568653099:12568652386
29357:325093,12568653099:12568650428
29357:333997,12568653099:12568651291
29357:261104,12568653099:12568651978
29357:252293,12568653099:12568651860
29357:279085,12568653099:12568651502
29357:381312,12568653099:12568650394
29357:69935,12568653099:12568652932
29357:402934,12568653099:12568650530
29357:482518,12568653099:x-12697546861
29357:280324,12568653099:12568651686
30862:153801,12568652291:12568652180
30862:350072,12568652291:12568650907
30862:437448,12568652291:12568650086
30862:299481,12568652291:12568651643
30862:351356,12568652291:12568651110
30862:206648,12568652291:12568649562
30862:238882,12568652291:12568651460
30862:279650,12568652291:12568651020
30862:301631,12568652291:12568651033
30862:260383,12568652291:12568651956
30862:431790,12568652291:12568649498
30862:251831,12568652291:12568651897
30862:139026,12568652291:12568649538
30862:150977,12568652291:12568652251
30862:222838,12568652291:12568652156
30862:197704,12568652291:12568649582
30862:211957,12568652291:12568652019
30862:61054,12568652291:12569249575
30862:173589,12568652291:12569249100
32717:212993,12569249645:12569248981
32717:142810,12569249645:12569249163
32717:47029,12569249645:12569249502
32717:151263,12569249645:12569249215
32717:376468,12569249645:12569247986
32717:348244,12569249645:12569248239
32717:345710,12569249645:12569247574
32717:85488,12569249645:12569249615
32717:230879,12569249645:12569247601
32717:134512,12569249645:12568652337
32717:114994,12569249645:12569249405
34934:138816,12577991099:12577990242
34934:155262,12577991099:12577987651
34934:500364,12577991099:z-12578537530
34934:128564,12577991099:12577987655
34934:424769,12577991099:12577987716
34934:205304,12577991099:12577987762
34934:167663,12577991099:12577990607
34934:116583,12577991099:12578570962
34934:503065,12577991099:z-12578537082
34934:507631,12577991099:z-12578534037
34934:501474,12577991099:z-12578537121
34934:498820,12577991099:z-12578538007
34934:506767,12577991099:z-12569211292
37719:246333,12578571351:12578570737
37719:116583,12578571351:12578570962
37719:368572,12578571351:12568650992
38488:136207,12569249655:12569249376
38488:226383,12569249655:12569248900
38488:506044,12569249655:z-12569804658
38488:507442,12569249655:z-12569804765
38488:505971,12569249655:z-12569807082
38488:296385,12569249655:12569248674
38488:167473,12569249655:12569248590
38488:506631,12569249655:z-12569806262
38488:64093,12569249655:12569249345
38555:350727,12568652768:12568651257
38555:492645,12568652768:y-12577409797
38555:494985,12568652768:y-12577409186
38555:101204,12568652768:12568652751
38555:492273,12568652768:y-12577409898
38555:492396,12568652768:y-12577409912
40115:273619,12568653000:12568651746
40115:360031,12568653000:12568649884
40115:345615,12568653000:12568649929
40115:194338,12568653000:12568649901
40115:426980,12568653000:12568649757
40115:389691,12568653000:12568649848
40115:410451,12568653000:12568649613
40115:102362,12568653000:12568652840
40115:103639,12568653000:12568652732
40115:372537,12568653000:12568651183
40115:162394,12568653000:12569248563
40115:71177,12568653000:12569289180
40115:218449,12568653000:12569288606
40317:60529,12568652486:12568652680
40317:486136,12568652486:x-12697545856
40317:483012,12568652486:x-12697546790
40317:263200,12568652486:12568690632
40317:230680,12568652486:12568690973
40321:296385,12569249549:12569248674
40321:64093,12569249549:12569249345
40321:126131,12569249549:12569247408
40321:401777,12569249549:12569247548
40321:389520,12569249549:12569247473
40321:167473,12569249549:12569248590
40321:49897,12569249549:12569247257
40321:398121,12569249549:12569247221
40321:136207,12569249549:12569249376
40321:96436,12569249549:12569247023
40321:414682,12569249549:12569247091
40321:502998,12569249549:z-12569808127
40321:226383,12569249549:12569248900
41038:197704,12568652456:12568649582
41038:139026,12568652456:12568649538
41038:483676,12568652456:x-12698118766
41038:206648,12568652456:12568649562
41038:431790,12568652456:12568649498
41038:482189,12568652456:x-12697546875
41038:480557,12568652456:x-12697547258
41038:299481,12568652456:12568651643
41038:260383,12568652456:12568651956
41038:114994,12568652456:12569249405
41038:211957,12568652456:12568652019
41038:348244,12568652456:12569248239
41038:437448,12568652456:12568650086
41038:150977,12568652456:12568652251
41038:350072,12568652456:12568650907
41038:85488,12568652456:12569249615
41038:482902,12568652456:x-12698119052
42857:489090,12569248954:x-12698119537
42857:481520,12569248954:x-12698118999
42918:154867,12568652793:12568652427
42918:170332,12568652793:12568652219
42918:98797,12568652793:12568652573
42918:123013,12568652793:12568652695
42918:343227,12568652793:12568651536
42918:78028,12568652793:12568652263
42918:219980,12568652793:12568652301
42918:249875,12568652793:12568652049
42918:290772,12568652793:12568651780
42918:375113,12568652793:12568650506
42918:305274,12568652793:12568651566
42918:234439,12568652793:12568650468
42918:97441,12568652793:12568650463
43698:369672,12568652386:12568651091
43698:168745,12568652386:12568651991
43698:279085,12568652386:12568651502
43698:191284,12568652386:12568652354
43698:402934,12568652386:12568650530
43698:171091,12568652386:12568652632
43698:317539,12568652386:12568651659
43698:88488,12568652386:12568652072
43698:143038,12568652386:12568650750
43698:289557,12568652386:12568651341
43698:494928,12568652386:y-12577409159
43698:490247,12568652386:y-12577410243
43698:357512,12568652386:12568650716
43698:220287,12568652386:12568652094
43698:494311,12568652386:y-12577409420
43698:325093,12568652386:12568650428
43698:338118,12568652386:12568688816
43698:366749,12568652386:12568688852
43698:381312,12568652386:12568650394
43698:421673,12568652386:12568650178
46790:88965,12578571409:12578571088
46790:227705,12578571409:12578570405
46790:186431,12578571409:12578570903
46790:89603,12578571409:12578612388
46907:134512,12568652553:12568652337
46907:84576,12568652553:12568652877
46907:428783,12568652553:12568650313
46907:376468,12568652553:12569247986
46907:187050,12568652553:12568652136
46907:106326,12568652553:12569248265
46907:91209,12568652553:12569249433
