Hn1_x,y,z
82.5662,70.2481,82.4344
73.1505,27.6269,14.5114
51.0989,75.0957,77.6084
64.1128,96.9765,37.5275
2.27721,12.5984,42.4416
74.289,67.8243,69.4076
64.1128,96.9765,37.5275
64.1128,96.9765,37.5275
82.5662,70.2481,82.4344
2.27721,12.5984,42.4416
64.1128,96.9765,37.5275
64.1128,96.9765,37.5275
74.289,67.8243,69.4076
2.27721,12.5984,42.4416
51.0989,75.0957,77.6084
74.289,67.8243,69.4076
73.1505,27.6269,14.5114
51.0989,75.0957,77.6084
64.1128,96.9765,37.5275
2.27721,12.5984,42.4416
2.27721,12.5984,42.4416
2.27721,12.5984,42.4416
73.1505,27.6269,14.5114
64.1128,96.9765,37.5275
2.27721,12.5984,42.4416
82.5662,70.2481,82.4344
74.289,67.8243,69.4076
64.1128,96.9765,37.5275
46.9998,45.4404,23.8484
82.5662,70.2481,82.4344
82.5662,70.2481,82.4344
82.5662,70.2481,82.4344
64.1128,96.9765,37.5275
64.1128,96.9765,37.5275
96.9563,86.7968,87.0291
51.0989,75.0957,77.6084
64.1128,96.9765,37.5275
64.1128,96.9765,37.5275
82.5662,70.2481,82.4344
46.9998,45.4404,23.8484
82.5662,70.2481,82.4344
14.1536,31.5381,81.643
51.0989,75.0957,77.6084
14.1536,31.5381,81.643
14.1536,31.5381,81.643
29.4471,12.1313,85.5551
96.9563,86.7968,87.0291
96.9563,86.7968,87.0291
51.0989,75.0957,77.6084
51.0989,75.0957,77.6084
29.4471,12.1313,85.5551
96.9563,86.7968,87.0291
96.9563,86.7968,87.0291
14.1536,31.5381,81.643
14.1536,31.5381,81.643
29.4471,12.1313,85.5551
96.456,69.2287,61.6855
16.1625,69.594,29.4058
96.456,69.2287,61.6855
35.146,60.9334,27.5135
71.6866,87.3449,98.2062
46.9998,45.4404,23.8484
96.456,69.2287,61.6855
96.456,69.2287,61.6855
96.456,69.2287,61.6855
29.4471,12.1313,85.5551
71.6866,87.3449,98.2062
21.828,11.159,52.2435
71.6866,87.3449,98.2062
96.456,69.2287,61.6855
71.6866,87.3449,98.2062
29.4471,12.1313,85.5551
71.6866,87.3449,98.2062
29.4471,12.1313,85.5551
21.828,11.159,52.2435
96.456,69.2287,61.6855
96.456,69.2287,61.6855
96.456,69.2287,61.6855
71.6866,87.3449,98.2062
21.828,11.159,52.2435
29.4471,12.1313,85.5551
29.4471,12.1313,85.5551
96.456,69.2287,61.6855
96.456,69.2287,61.6855
71.6866,87.3449,98.2062
29.4471,12.1313,85.5551
96.456,69.2287,61.6855
21.828,11.159,52.2435
96.456,69.2287,61.6855
29.4471,12.1313,85.5551
21.828,11.159,52.2435
96.456,69.2287,61.6855
16.1625,69.594,29.4058
16.1625,69.594,29.4058
96.456,69.2287,61.6855
96.456,69.2287,61.6855
71.6866,87.3449,98.2062
16.1625,69.594,29.4058
21.828,11.159,52.2435
71.6866,87.3449,98.2062
94.4322,92.769,91.0416
96.456,69.2287,61.6855
80.1813,87.1492,95.1483
94.4322,92.769,91.0416
41.6431,49.0099,9.56048
55.6101,73.5229,38.7284
96.456,69.2287,61.6855
94.4322,92.769,91.0416
94.4322,92.769,91.0416
96.456,69.2287,61.6855
96.456,69.2287,61.6855
55.6101,73.5229,38.7284
55.6101,73.5229,38.7284
41.6431,49.0099,9.56048
41.6431,49.0099,9.56048
80.1813,87.1492,95.1483
96.456,69.2287,61.6855
55.6101,73.5229,38.7284
96.456,69.2287,61.6855
41.6431,49.0099,9.56048
21.828,11.159,52.2435
21.828,11.159,52.2435
21.828,11.159,52.2435
55.6101,73.5229,38.7284
55.6101,73.5229,38.7284
41.6431,49.0099,9.56048
55.6101,73.5229,38.7284
41.6431,49.0099,9.56048
55.6101,73.5229,38.7284
55.6101,73.5229,38.7284
21.828,11.159,52.2435
55.6101,73.5229,38.7284
96.456,69.2287,61.6855
55.6101,73.5229,38.7284
96.456,69.2287,61.6855
55.6101,73.5229,38.7284
80.1813,87.1492,95.1483
41.6431,49.0099,9.56048
41.6431,49.0099,9.56048
21.828,11.159,52.2435
80.1813,87.1492,95.1483
94.4322,92.769,91.0416
96.456,69.2287,61.6855
28.7218,54.3438,79.9882
37.3428,46.8988,15.2665
47.704,36.4174,24.5847
53.9193,10.4577,32.9354
53.9193,10.4577,32.9354
53.9193,10.4577,32.9354
47.704,36.4174,24.5847
28.7218,54.3438,79.9882
47.704,36.4174,24.5847
47.704,36.4174,24.5847
47.704,36.4174,24.5847
28.7218,54.3438,79.9882
53.9193,10.4577,32.9354
28.7218,54.3438,79.9882
53.9193,10.4577,32.9354
48.0576,44.5695,70.551
28.7218,54.3438,79.9882
37.3428,46.8988,15.2665
48.0576,44.5695,70.551
48.0576,44.5695,70.551
48.0576,44.5695,70.551
28.7218,54.3438,79.9882
37.3428,46.8988,15.2665
48.0576,44.5695,70.551
53.9193,10.4577,32.9354
52.8361,84.3939,23.7732
52.8361,84.3939,23.7732
48.0576,44.5695,70.551
48.0576,44.5695,70.551
28.7218,54.3438,79.9882
28.7218,54.3438,79.9882
52.8361,84.3939,23.7732
48.0576,44.5695,70.551
47.704,36.4174,24.5847
47.704,36.4174,24.5847
47.704,36.4174,24.5847
48.0576,44.5695,70.551
37.3428,46.8988,15.2665
53.9193,10.4577,32.9354
52.8361,84.3939,23.7732
52.8361,84.3939,23.7732
52.8361,84.3939,23.7732
53.9193,10.4577,32.9354
61.4492,92.7719,92.4005
28.7218,54.3438,79.9882
40.0238,28.3702,29.1715
53.9193,10.4577,32.9354
61.4492,92.7719,92.4005
40.0238,28.3702,29.1715
61.4492,92.7719,92.4005
40.0238,28.3702,29.1715
61.4492,92.7719,92.4005
61.4492,92.7719,92.4005
19.119,16.6284,84.8053
40.0238,28.3702,29.1715
40.0238,28.3702,29.1715
19.119,16.6284,84.8053
40.0238,28.3702,29.1715
19.119,16.6284,84.8053
19.119,16.6284,84.8053
48.0576,44.5695,70.551
50.7496,43.8098,67.9615
19.119,16.6284,84.8053
50.7496,43.8098,67.9615
41.4326,79.7831,41.7297
61.4492,92.7719,92.4005
61.4492,92.7719,92.4005
19.119,16.6284,84.8053
61.4492,92.7719,92.4005
50.7496,43.8098,67.9615
61.4492,92.7719,92.4005
50.7496,43.8098,67.9615
40.0238,28.3702,29.1715
50.7496,43.8098,67.9615
61.4492,92.7719,92.4005
40.0238,28.3702,29.1715
13.5772,54.3549,86.2703
50.7496,43.8098,67.9615
61.4492,92.7719,92.4005
61.4492,92.7719,92.4005
19.119,16.6284,84.8053
21.757,80.6358,55.4491
40.0238,28.3702,29.1715
13.5772,54.3549,86.2703
19.119,16.6284,84.8053
19.119,16.6284,84.8053
61.4492,92.7719,92.4005
61.4492,92.7719,92.4005
19.119,16.6284,84.8053
19.119,16.6284,84.8053
19.119,16.6284,84.8053
21.757,80.6358,55.4491
61.4492,92.7719,92.4005
61.4492,92.7719,92.4005
19.119,16.6284,84.8053
61.4492,92.7719,92.4005
13.5772,54.3549,86.2703
73.0689,62.0896,7.37454
43.0388,87.0655,46.7247
84.287,95.8902,39.5081
73.0689,62.0896,7.37454
73.0689,62.0896,7.37454
43.0388,87.0655,46.7247
43.0388,87.0655,46.7247
13.5772,54.3549,86.2703
43.0388,87.0655,46.7247
73.0689,62.0896,7.37454
84.287,95.8902,39.5081
73.0689,62.0896,7.37454
84.287,95.8902,39.5081
9.47296,71.676,22.5004
13.5772,54.3549,86.2703
84.287,95.8902,39.5081
84.287,95.8902,39.5081
21.757,80.6358,55.4491
43.0388,87.0655,46.7247
43.0388,87.0655,46.7247
35.3228,44.1401,9.14387
43.0388,87.0655,46.7247
63.4,37.7655,19.0643
63.4,37.7655,19.0643
84.287,95.8902,39.5081
6.30368,93.7551,13.3162
84.287,95.8902,39.5081
57.427,90.1092,17.9363
35.3228,44.1401,9.14387
6.30368,93.7551,13.3162
35.3228,44.1401,9.14387
50.5409,86.0055,73.335
87.9966,65.5452,87.1141
35.3228,44.1401,9.14387
57.427,90.1092,17.9363
50.5409,86.0055,73.335
87.9966,65.5452,87.1141
83.2318,53.9657,1.99428
87.9966,65.5452,87.1141
87.9966,65.5452,87.1141
87.9966,65.5452,87.1141
83.2318,53.9657,1.99428
6.30368,93.7551,13.3162
6.30368,93.7551,13.3162
63.4,37.7655,19.0643
6.30368,93.7551,13.3162
87.9966,65.5452,87.1141
83.2318,53.9657,1.99428
83.2318,53.9657,1.99428
57.427,90.1092,17.9363
6.30368,93.7551,13.3162
63.4,37.7655,19.0643
83.2318,53.9657,1.99428
83.2318,53.9657,1.99428
6.30368,93.7551,13.3162
57.427,90.1092,17.9363
50.5409,86.0055,73.335
63.4,37.7655,19.0643
57.427,90.1092,17.9363
4.48077,60.6789,20.8101
42.7197,95.7774,70.0154
80.3495,47.5438,3.56804
4.48077,60.6789,20.8101
9.13155,6.87267,95.9705
42.7197,95.7774,70.0154
4.48077,60.6789,20.8101
80.3495,47.5438,3.56804
80.3495,47.5438,3.56804
35.0097,64.5593,26.9197
9.13155,6.87267,95.9705
80.3495,47.5438,3.56804
4.48077,60.6789,20.8101
4.48077,60.6789,20.8101
4.48077,60.6789,20.8101
35.0097,64.5593,26.9197
42.7197,95.7774,70.0154
35.0097,64.5593,26.9197
87.6438,42.8857,96.2301
9.13155,6.87267,95.9705
9.13155,6.87267,95.9705
42.7197,95.7774,70.0154
4.48077,60.6789,20.8101
87.6438,42.8857,96.2301
9.13155,6.87267,95.9705
46.1242,88.2099,4.16593
87.6438,42.8857,96.2301
80.3495,47.5438,3.56804
46.1242,88.2099,4.16593
46.1242,88.2099,4.16593
87.6438,42.8857,96.2301
87.6438,42.8857,96.2301
87.6438,42.8857,96.2301
87.6438,42.8857,96.2301
87.6438,42.8857,96.2301
4.48077,60.6789,20.8101
80.3495,47.5438,3.56804
4.48077,60.6789,20.8101
4.48077,60.6789,20.8101
4.48077,60.6789,20.8101
46.1242,88.2099,4.16593
42.7197,95.7774,70.0154
46.1242,88.2099,4.16593
4.48077,60.6789,20.8101
80.3495,47.5438,3.56804
42.7197,95.7774,70.0154
46.1242,88.2099,4.16593
87.6438,42.8857,96.2301
10.1033,11.1281,57.799
42.7197,95.7774,70.0154
30.0773,72.3521,24.126
9.13155,6.87267,95.9705
87.6438,42.8857,96.2301
58.6791,97.2209,78.1909
42.7197,95.7774,70.0154
87.6438,42.8857,96.2301
42.7197,95.7774,70.0154
87.6438,42.8857,96.2301
58.6791,97.2209,78.1909
9.13155,6.87267,95.9705
9.13155,6.87267,95.9705
30.0773,72.3521,24.126
58.6791,97.2209,78.1909
42.7197,95.7774,70.0154
30.0773,72.3521,24.126
42.7197,95.7774,70.0154
58.6791,97.2209,78.1909
30.0773,72.3521,24.126
9.13155,6.87267,95.9705
30.0773,72.3521,24.126
87.6438,42.8857,96.2301
36.3822,79.8018,25.8215
36.3822,79.8018,25.8215
38.5799,47.4765,10.7197
34.0436,76.0287,58.6499
36.3822,79.8018,25.8215
36.3822,79.8018,25.8215
38.5799,47.4765,10.7197
38.5799,47.4765,10.7197
38.5799,47.4765,10.7197
38.5799,47.4765,10.7197
38.5799,47.4765,10.7197
9.50289,42.7845,33.6108
34.0436,76.0287,58.6499
9.50289,42.7845,33.6108
9.50289,42.7845,33.6108
38.5799,47.4765,10.7197
9.50289,42.7845,33.6108
38.5799,47.4765,10.7197
34.0436,76.0287,58.6499
34.0436,76.0287,58.6499
36.3822,79.8018,25.8215
38.5799,47.4765,10.7197
15.3685,48.275,13.7155
34.0436,76.0287,58.6499
34.0436,76.0287,58.6499
34.0436,76.0287,58.6499
38.5799,47.4765,10.7197
14.408,62.4377,29.1502
15.3685,48.275,13.7155
38.5799,47.4765,10.7197
9.50289,42.7845,33.6108
82.7075,54.0094,1.67584
99.3229,64.584,61.0793
99.3229,64.584,61.0793
38.5799,47.4765,10.7197
82.7075,54.0094,1.67584
38.5799,47.4765,10.7197
82.7075,54.0094,1.67584
36.3822,79.8018,25.8215
34.0436,76.0287,58.6499
34.0436,76.0287,58.6499
34.0436,76.0287,58.6499
99.3229,64.584,61.0793
38.5799,47.4765,10.7197
36.3822,79.8018,25.8215
