mvir,x,y,z,rockstarid
887300000000000,244.573,305.702,259.626,12599039935
883920000000000,701.003,45.9687,890.543,12661647142
883340000000000,720.552,218.282,375.641,12663042953
882620000000000,327.928,618.145,456.594,12611385030
881020000000000,496.854,533.51,936.716,12638894433
879410000000000,805.787,48.8023,85.5319,12679365512
878610000000000,290.271,230.217,722.877,12608041658
878420000000000,519.394,957.109,402.809,12642579699
875730000000000,550.959,543.101,922.963,12648019875
875390000000000,499.858,171.985,15.11,12634928610
875090000000000,269.539,385.611,632.867,12609742493
874870000000000,420.958,115.981,154.678,12625119208
874350000000000,175.207,660.05,85.8926,12593174695
872130000000000,701.891,872.899,681.719,12668928296
870830000000000,923.313,834.052,639.172,12696208574
868690000000000,324.405,345.077,464.18,12609077529
867890000000000,320.814,268.749,79.8568,12608255815
866970000000000,535.651,61.6838,206.565,12643003768
866150000000000,668.223,181.157,560.291,12653455867
866130000000000,152.781,368.843,166.36,12590881621
864410000000000,729,512.052,184.416,12665799235
864290000000000,64.6755,937.993,416.69,12577631594
862040000000000,744.869,62.1797,586.391,12671123846
861830000000000,707.471,408.162,415.106,12664835900
861390000000000,777.616,67.1444,212.814,12670938387
852360000000000,184.269,976.394,276.939,12596126717
852220000000000,826.079,597.059,170.525,12684604620
852020000000000,981.207,712.06,528.032,12704120463
851150000000000,43.7863,885.723,299.545,12577001571
851020000000000,404.576,910.234,237.703,12632733147
850640000000000,327.712,307.764,292.847,12608431399
848300000000000,448.962,808.79,602.712,12631769746
848230000000000,684.333,168.183,177.21,12662397966
847560000000000,958.342,73.4971,974.05,12698654943
847440000000000,852.989,675.668,133.921,12685125354
845040000000000,246.346,823.859,567.905,12604478368
844110000000000,631.836,766.504,190.515,12658970235
844070000000000,554.22,741.094,745.877,12649612350
842040000000000,352.563,654.134,810.845,12621405301
840880000000000,328.023,202.546,511.244,12607903129
840200000000000,922.317,870.372,62.488,12696481229
838480000000000,604.72,80.8958,559.147,12652953996
836480000000000,356.424,846.013,676.254,12623065046
836160000000000,780.207,236.711,682.58,12672332942
835840000000000,786.952,30.7575,416.96,12670446618
834120000000000,769.989,641.633,652.813,12676302565
833500000000000,988.997,496.999,534.126,12701878879
833080000000000,725.07,153.149,963.93,12662823572
832200000000000,312.339,252.38,563.201,12608540293
831780000000000,765.294,442.491,521.446,12673968755
831770000000000,883.364,574.221,645.1,12693397893
830240000000000,585.179,961.363,233.144,12651601219
829090000000000,542.943,42.8834,926.926,12643433921
828630000000000,43.5458,788.977,940.905,12576176485
828000000000000,972.53,901.919,364.079,12705734299
827470000000000,30.0267,302.922,451.53,12571243945
827140000000000,186.573,624.16,789.64,12592964493
826840000000000,791.905,95.6094,671.697,12671192447
826800000000000,402.408,442.812,572.528,12628875103
826280000000000,846.884,859.706,236.726,12686888356
826180000000000,7.58666,369.367,160.17,12571680878
825410000000000,351.066,165.475,425.591,12616541397
825140000000000,520.402,499.662,828.516,12638272181
824820000000000,407.556,436.897,847.248,12629017498
824480000000000,643.403,431.009,293.74,12655654713
822600000000000,936.372,77.9473,588.772,12698410232
819810000000000,600.891,675.093,594.987,12658080257
818390000000000,25.6357,472.464,576.633,12573102672
818310000000000,487.912,725.808,46.4002,12640071607
815910000000000,63.8174,793.418,660.037,12575998403
815770000000000,36.2506,435.136,321.583,12572396165
815450000000000,209.854,830.959,766.503,12604611191
815310000000000,27.6797,530.308,170.294,12573465993
814930000000000,179.081,755.613,128.637,12593790789
814740000000000,914.657,803.588,471.067,12695586572
813460000000000,575.274,560.952,549.229,12647843106
812090000000000,331.852,135.711,626.747,12607392144
810550000000000,372.989,877.508,67.9597,12623309270
810240000000000,483.119,55.4515,912.734,12634286628
810110000000000,580.008,536.675,320.196,12647705357
809300000000000,165.076,873.824,19.9685,12594853873
809250000000000,557.019,623.514,512.6,12648367600
809150000000000,934.76,659.797,430.672,12703495097
807830000000000,758.349,918.082,846.015,12678668048
807660000000000,465.979,981.341,823.838,12633634734
805270000000000,464.503,633.321,518.363,12630577277
805210000000000,338.341,582.341,287.958,12620552391
