mvir,x,y,z
1.00E+13,186.809,57.3045,565.445
1.00E+13,457.406,84.8715,293.621
1.00E+13,294.71,27.3892,724.751
1.00E+13,118.628,711.108,38.168
1.00E+13,100.1,805.129,388.865
1.00E+13,510.875,140.097,466.114
1.00E+13,549.089,344.554,875.71
1.00E+13,356.863,440.781,646.106
1.00E+13,246.573,609.832,48.7367
1.00E+13,238.911,760.727,896.443
1.00E+13,651.67,360.803,721.708
1.00E+13,366.913,252.383,774.167
1.00E+13,334.577,775.74,126.472
1.00E+13,381.826,719.585,653.732
1.00E+13,405.768,639.348,151.567
1.00E+13,297.155,52.6979,840.814
1.00E+13,461.431,464.881,602.533
1.00E+13,542.126,299.906,228.881
1.00E+13,711.829,613.762,732.691
1.00E+13,446.964,582.783,537.586
1.00E+13,527.818,577.121,331.188
1.00E+13,372.55,468.18,412.201
1.00E+13,881.714,581.25,765.82
1.00E+13,877.791,683.726,797.752
1.00E+13,358.63,862.648,772.603
1.00E+13,684.748,121.656,57.3678
1.00E+13,623.453,794.359,682.152
1.00E+13,669.631,458.763,160.371
1.00E+13,769.685,32.1449,446.801
1.00E+13,713.436,273.535,235.188
1.00E+13,640.734,868.066,969.882
1.00E+13,739.819,2.56825,103.655
1.00E+13,643.341,981.13,238.817
1.00E+13,801.227,179.643,596.802
1.00E+13,720.8,396.841,948.651
1.00E+13,519.245,668.824,568.587
1.00E+13,786.32,806.446,221.006
1.00E+13,769.358,860.404,324.399
1.00E+13,885.271,793.361,112.504
1.00E+13,859.668,380.571,945.429
1.00E+13,869.722,422.04,662.153
1.00E+13,866.248,633.135,300.565
1.00E+13,922.199,531.495,53.0476
1.00E+13,902.846,849.664,440.702
1.00E+13,900.371,313.672,651.46
1.00E+13,920.946,245.835,960.113
1.00E+13,953.527,739.24,748.246
1.00E+13,786.607,969.655,14.1457
1.00E+13,39.8897,13.1773,711.81
1.00E+13,60.1641,144.023,454.504
1.00E+13,87.3227,719.825,66.5757
1.00E+13,93.4848,734.544,60.3428
1.00E+13,47.3251,855.969,515.515
1.00E+13,251.488,327.93,798.065
1.00E+13,213.152,869.303,909.719
1.00E+13,37.6708,763.045,6.79165
1.00E+13,88.4738,324.117,14.6059
1.00E+13,13.6662,422.594,564.236
1.00E+13,310.083,369.681,590.297
1.00E+13,59.5994,666.807,104.737
1.00E+13,93.515,854.105,978.192
1.00E+13,113.631,462.879,576.934
1.00E+13,122.262,469.295,614.727
1.00E+13,54.9495,708.762,333.947
1.00E+13,135.388,814.688,433.814
1.00E+13,215.663,77.3891,884.385
1.00E+13,191.581,523.448,889.398
1.00E+13,476.09,394.822,303.936
1.00E+13,273.201,313.729,312.803
1.00E+13,32.9399,42.7835,388.916
1.00E+13,38.7413,65.1595,538.084
1.00E+13,243.002,231.492,390.311
1.00E+13,120.827,604.139,827.98
1.00E+13,281.123,962.437,84.8913
1.00E+13,375.114,37.748,345.074
1.00E+13,585.769,490.539,606.678
1.00E+13,295.86,930.763,953.641
1.00E+13,201.358,817.237,191.107
1.00E+13,320.637,467.488,472.839
1.00E+13,311.706,183.984,808.39
1.00E+13,663.407,313.832,588.34
1.00E+13,444.357,426.958,235.037
1.00E+13,310.558,565.945,408.007
1.00E+13,488.128,659.686,726.713
1.00E+13,401.26,295.273,359.191
1.00E+13,455.08,381.069,31.5709
1.00E+13,456.432,8.14726,76.2838
1.00E+13,758.081,326.197,907.806
1.00E+13,414.566,437.841,856.616
1.00E+13,453.206,809.644,602.557
1.00E+13,774.751,634.312,693.321
1.00E+13,362.605,56.6074,522.431
1.00E+13,858.649,165.864,196.421
